titulo,fuente,fecha,enlace
"Apple, Alibaba, drugmaker stocks: Trending Tickers",Yahoo Finance Video,27 minutes ago,https://finance.yahoo.com/video/apple-alibaba-drugmaker-stocks-trending-144322260.html
Apple rebounds as Trump’s super-sized China tariffs kick in,Yahoo Finance,5 hours ago,https://finance.yahoo.com/news/apple-rebounds-as-trumps-super-sized-china-tariffs-kick-in-181257601.html
"Apple looks to India, Micron adds surcharge: Trending Tickers",Yahoo Finance Video,23 hours ago,https://finance.yahoo.com/video/apple-looks-india-micron-adds-160849590.html
"Stock Market Today: Dow Jones Slips Despite China Trade War News; Nvidia, Tesla Jump As Trump Issues This Warning (Live Coverage)",Investor's Business Daily,12 minutes ago,https://finance.yahoo.com/m/7f6a5da2-39f1-311c-9a83-82fabf96c95e/stock-market-today-dow-jones.html
Trump Trade: U.S. President threatens additional tariffs on China of 50%,TipRanks,50 minutes ago,https://finance.yahoo.com/news/trump-trade-u-president-threatens-142054741.html
"The Simple, Brutal Math Behind Apple's Selloff - Heard on the Street",The Wall Street Journal,1 hour ago,https://finance.yahoo.com/m/61e570df-96d2-322e-a80a-cbbe6ff30fc4/the-simple-brutal-math.html
"These Stocks Are Moving the Most Today: Walmart, Pfizer, Apple, Tesla, Delta, Peabody Energy, Nvidia, Ford, and More",Barrons.com,1 hour ago,https://finance.yahoo.com/m/f96365e4-d84d-3da8-aa1b-37b0136e234e/these-stocks-are-moving-the.html
"Apple, Starbucks upgraded: Wall Street's top analyst calls",The Fly,1 hour ago,https://finance.yahoo.com/news/apple-starbucks-upgraded-wall-streets-134651474.html
iPhone Prices Could Soar as Tariff Standoff Threatens Apple's China-Heavy Supply Chain,GuruFocus.com,1 hour ago,https://finance.yahoo.com/news/iphone-prices-could-soar-tariff-134004919.html
"Stocks to Watch Wednesday: Apple, Alibaba, Novo Nordisk",The Wall Street Journal,1 hour ago,https://finance.yahoo.com/m/979dd5da-d1c5-34bf-87dd-73dfd01158da/stocks-to-watch-wednesday-.html
