titulo,fuente,fecha,enlace
Magnificent 7 tariff-fueled losses top $2 trillion,Yahoo Finance,18 hours ago,https://finance.yahoo.com/news/magnificent-7-tariff-fueled-losses-top-2-trillion-125402148.html
Is Microsoft (MSFT) the Best Big Data Stock to Buy According to Analysts?,Insider Monkey,57 minutes ago,https://finance.yahoo.com/news/microsoft-msft-best-big-data-141341328.html
"The Simple, Brutal Math Behind Apple's Selloff - Heard on the Street",The Wall Street Journal,1 hour ago,https://finance.yahoo.com/m/61e570df-96d2-322e-a80a-cbbe6ff30fc4/the-simple-brutal-math.html
"Microsoft's Capex Wiggle Room May Ease AI Spending Cut Fears, Says KeyBanc",GuruFocus.com,1 hour ago,https://finance.yahoo.com/news/microsofts-capex-wiggle-room-may-135554504.html
Here's 1 Nasdaq ETF to Consider Even as the Index Enters Into a Bear Market,Motley Fool,1 hour ago,https://finance.yahoo.com/news/heres-1-nasdaq-etf-consider-135400125.html
"These Stocks Are Moving the Most Today: Walmart, Pfizer, Apple, Tesla, Delta, Peabody Energy, Nvidia, Ford, and More",Barrons.com,1 hour ago,https://finance.yahoo.com/m/f96365e4-d84d-3da8-aa1b-37b0136e234e/these-stocks-are-moving-the.html
Short sellers mint $159 billion profit in 6 days as stocks sink,Bloomberg,1 hour ago,https://finance.yahoo.com/news/short-sellers-mint-159-billion-131131012.html
"Microsoft Reclaims Top Spot, Surpassing Apple After iPhone Maker's 23% Drop",GuruFocus.com,2 hours ago,https://finance.yahoo.com/news/microsoft-reclaims-top-spot-surpassing-124236697.html
5 Things to Know Before the Stock Market Opens,Investopedia,3 hours ago,https://finance.yahoo.com/news/5-things-know-stock-market-115416119.html
"Musk, Zuckerberg and Bezos have lost $80 billion of net worth since Trump’s ‘Liberation Day’",Fortune,4 hours ago,https://finance.yahoo.com/news/musk-zuckerberg-bezos-lost-80-110025203.html
